Club Name,links,Coding & Software Development,Hardware & Prototyping,Artificial Intelligence & Machine Learning,Data Science & Analytics,IoT & Embedded Systems,Robotics & Automation,Engineering Design & Manufacturing,Sustainable Engineering & Renewable Energy,Product Management & Startups,Graphic & Visual Design,Fashion & Styling,Music Performance & Production,"Film, Media & Journalism",Photography & Visual Arts,Creative Writing & Literature,Theater & Improv Performance,Dance & Movement Arts,Outdoor Adventure & Recreation,"Fitness, Wellness & Mindfulness",Sports & Competitive Club Teams,Community Service & Volunteering,Social Entrepreneurship & Impact,Non-profit & Advocacy Engagement,"Diversity, Equity & Inclusion",Cultural & Heritage Community,Language Learning & Conversation,International & Global Perspectives,Academic Research & Honor Societies,Professional Development & Networking,"Business, Finance & Investing",Sales & Business Analytics,Marketing & Advertising,Urban Planning & Real Estate,"Agriculture, Food Systems & Plant Science",Environmental Conservation & Ecology,Wildlife & Natural Resources,Health Sciences & Pre-Professional Tracks,Mental Health & Peer Support,Spiritual-Faith & Religious Community,LGBTQIA+ Advocacy & Safe Spaces,Multicultural Student Communities,Greek Life / Social Leadership,Student Media / Magazine / Editorial,"Gaming, eSports & Tabletop",Vehicle/Off-Road & Motorsport Clubs,Skills Training & Career Preparation,Tutoring / Academic Support & Study Groups,Technology for Social Good,Sustainable Lifestyle & Circular Economy,Life Skills & Personal Growth,woman women,man men,lgbtq,White European Italian,Black African American,Native American,Asian,Hispanic,Native Hawaiian or Other Pacific Islander,Greek,Christian,Islam,Jewish Community and Judaism,Hindu,Buddhism,Sikh,Aerospace Engineering,Agricultural Business,Agricultural Communication,Agricultural Science,Agricultural Systems Management,Animal Science,Anthropology and Geography,Architectural Engineering,Architecture,Art and Design,Biochemistry,Biological Sciences,Biomedical Engineering,BioResource and Agricultural Engineering,Business Administration,Chemistry,Child Development,City and Regional Planning,Civil Engineering,Communication Studies,Comparative Ethnic Studies,Computer Engineering,Computer Science,Construction Management,Dairy Science,Economics,Electrical Engineering,English,Environmental Earth and Soil Sciences,Environmental Engineering,Environmental Management and Protection,Food Science,Forest and Fire Sciences,General Engineering,Graphic Communication,History,Industrial Engineering,Industrial Technology and Packaging,Interdisciplinary Studies,Journalism,Kinesiology,Landscape Architecture,Liberal Arts and Engineering Studies,Liberal Studies,Manufacturing Engineering,Marine Sciences,Materials Engineering,Mathematics,Mechanical Engineering,Microbiology,Music,Nutrition,Philosophy,Physics,Plant Sciences,Political Science,Public Health,Psychology,"Recreation, Parks, and Tourism Administration",Sociology,Software Engineering,Spanish,Statistics,Theatre Arts,Wine and Viticulture,Description
AACF (Asian American Christian Fellowship),https://now.calpoly.edu/organization/aacfclub,0.04269445600820949,0.0,0.07248461870849776,0.04625755688407581,0.0,0.08384281088698768,0.044192903277154603,0.061418447178041576,0.06789380334010088,0.07990273642037615,0.046967794737589594,0.0,0.07513657122158611,0.11550198350085178,0.07041581185537332,0.07176393686531139,0.09787777335649293,0.05737830516177153,0.07948002474946045,0.043564412826370066,0.15448825842684474,0.10664360533783787,0.18814036975605733,0.09416477074713822,0.11817982646705005,0.10654542664175444,0.1036359826257259,0.06772294470957797,0.08765957679704818,0.08406383010308457,0.04076382463278032,0.09757201016439525,0.046189145961218585,0.04113712834210164,0.06132827965046123,0.0,0.03789579594844572,0.08326733817693709,0.1228417406202976,0.14824210311378844,0.10653511545606402,0.09272579112463675,0.10058589333083062,0.0,0.04657593740310563,0.07063497868363877,0.1414505288736382,0.0900814505821345,0.11615424790836325,0.0965319667274741,0.23126956444094018,0.23126956444094018,0.0,0.0,0.0,0.0,0.23126956444094018,0.0,0.0,0.23126956444094018,0.19294768650351116,0.16213778568945963,0.16711071898694355,0.08622999500078565,0.11145704856822755,0.10492941498155979,0.08092931054821897,0.05871467911433548,0.056456381698311055,0.059423318634222996,0.03626729239587682,0.059694777974232345,0.07605462517527707,0.0781832781293533,0.07088761300836023,0.07159883138111824,0.0654512994293282,0.048015089233808005,0.04960463227088672,0.06080777443236545,0.09799446012252527,0.05348406612523647,0.08079088469938929,0.06167577133331583,0.04158950954532696,0.1124893311426058,0.07823712165945237,0.080833736283906,0.07827223762073617,0.03681734005952821,0.06883158206857205,0.03963194219038757,0.0395776501651684,0.12435121332458106,0.036385966936981144,0.0397258634520126,0.05477050850045964,0.04431165691663747,0.07336298592803808,0.07321169686970576,0.09494106921710703,0.08571673656265737,0.04534704088517332,0.05938765243681896,0.10883356744954441,0.06249452611352738,0.08551824538292056,0.04185892263342227,0.06653656013303687,0.09100251837622376,0.04913904497548545,0.0,0.054425791144696686,0.051189538137765285,0.03514954583219602,0.07918582653205714,0.08868539872203995,0.06878072486573218,0.10078151205420097,0.0,0.03719232260951913,0.041734677123546754,0.0,0.06399044466104241,0.10200950726854786,0.06461220860206363,0.047052905678831886,0.06510762495526295,0.0,0.09748020649327653,0.0,"The mission of AACF is to reach into the university and collegiate community with the life-changing message of Jesus Christ. We focus on loving God and loving others through community, Bible study, prayer, worship and more!"
Advertising Club,https://now.calpoly.edu/organization/cpad,0.10048817080532073,0.055769748174758466,0.0643221241710581,0.06672856664223435,0.06151077791012384,0.07671201910570584,0.05732141625724371,0.04385154285019458,0.08275514490822272,0.10785354233448086,0.06917425867123339,0.06236408102265389,0.113656499782166,0.11568290652190828,0.0978379425226592,0.07618319863870421,0.07472995904117181,0.08810304786277845,0.042895694130550915,0.11430984013958126,0.092131359242421,0.10998774183134404,0.15035243867059278,0.0504586270578565,0.047520278302949706,0.08406504361249673,0.07950340511699236,0.0646609196358839,0.12213614689516016,0.0907233636306201,0.10206465658702046,0.16872159278089346,0.0868374426429968,0.061010110043295776,0.03826393473331937,0.0,0.07495922444866995,0.07353002353665167,0.07520583946524038,0.0856026346567311,0.0649200782957504,0.08286867991516304,0.14214408482814656,0.07128202388591359,0.10411744142326794,0.08838008677267332,0.1298489500902522,0.11268494100573127,0.08340794290864657,0.08901459745883862,0.1994321883935238,0.1994321883935238,0.0,0.1994321883935238,0.1994321883935238,0.1994321883935238,0.1994321883935238,0.1994321883935238,0.1994321883935238,0.0,0.06899018701592136,0.0698586810258133,0.07805046442940472,0.0,0.06158271304185888,0.0376460700042577,0.06202788275728914,0.08287422027844746,0.05686062570500381,0.06373618877575514,0.06556795579699287,0.06658392385095985,0.06364892948821312,0.08054065534763542,0.04778879224962795,0.10843687657740757,0.07167110038072518,0.04174287538840074,0.033284987670598225,0.04885672256329426,0.09107538841821675,0.04777315677281422,0.050070562817487826,0.054068045072258764,0.07074493114979151,0.10364981509029618,0.035896334956818855,0.09517357826184605,0.09377010769628115,0.05953399257095979,0.06069622363964918,0.06229014679780409,0.046638460512395,0.055954898698259786,0.04746763709899459,0.04899982581430877,0.046920479143784444,0.057724438161712376,0.04732844265512621,0.06043917878073201,0.09090001713893046,0.044480708526975214,0.05277436447727805,0.06293216503805832,0.07661945238633812,0.09747067216845023,0.06443195188641307,0.048762019613543636,0.052417919495462324,0.057154739749131274,0.042162302358606775,0.032813262978268684,0.03188329010034865,0.041816832855533836,0.03478639385206311,0.05707056371869502,0.045572965047690525,0.03733832801142884,0.0702463731162725,0.04549022671051868,0.06456805832126651,0.07719631562157944,0.04629457974220194,0.0679453231421254,0.09625010184377698,0.06737142828292685,0.09660574986507248,0.03658330410505141,0.04771776178195596,0.0634023304152069,0.07149209286142517,The Cal Poly Advertising Club provides students with hands-on experience in the world of advertising by partnering with local businesses to create real-world campaigns. Members will boost their creativity through collaboration and passion in the club.
Agribusiness Management/National Agri-Marketing Association Club,https://now.calpoly.edu/organization/abm-nama,0.06963821543312106,0.0679112624737562,0.05962392802054222,0.1197338925520325,0.05949874697134195,0.1402589022820547,0.0819539799555169,0.0804463047778219,0.13980779404967128,0.07209058442920942,0.03357096950994325,0.07790291376796629,0.07631263338504321,0.07349253713812477,0.06028944380010732,0.0590772156425734,0.07532364045609662,0.05952575036674604,0.06544366816247639,0.08889394811813033,0.04108871734033436,0.07899015582675589,0.11219200975996554,0.03368022346800046,0.0,0.05139185062773531,0.07395617940110737,0.0822992631323486,0.09570266170576455,0.0987176749330799,0.1297692466824599,0.1191064721273365,0.06676031292827139,0.13391002618765302,0.05032007467742975,0.0846314771184291,0.046518749324647835,0.05481734968183219,0.03205218638859318,0.05355374209021322,0.03344892654258773,0.07489259334431765,0.09406535963781616,0.04061663966840394,0.11126156896602662,0.08607822402589273,0.10416608482560467,0.07609293192463382,0.07640647950668406,0.060279006747095014,0.16163122548867498,0.16163122548867498,0.0,0.16163122548867498,0.16163122548867498,0.16163122548867498,0.16163122548867498,0.16163122548867498,0.16163122548867498,0.0,0.03225789801059751,0.058811157791841845,0.0316337366311928,0.041547116800528555,0.043441872318230074,0.025818242057710005,0.08175927751645759,0.15598064971449338,0.10071098327212634,0.13242780771740192,0.14610319665130225,0.10012391415541877,0.06322703301277154,0.06683617741678896,0.08149154504857165,0.0574127199454578,0.12268281940470813,0.09614003455719054,0.06074382402314617,0.13766163049262864,0.1600115324333833,0.05613391251884711,0.03944462804952493,0.07118324973851531,0.0700568449878705,0.03954008235006198,0.02539129891354689,0.05982361011265534,0.046961426098749336,0.09419017426738188,0.10026310479976354,0.10138312490471499,0.05311677245748342,0.06016904556882652,0.09156208507771228,0.06548241503530035,0.08488228055689284,0.10858037303446837,0.059180536153662665,0.10766015742575867,0.04836200667302141,0.06888163130488778,0.09483577415840931,0.09390876389515118,0.06832735468543916,0.0676400488161471,0.05862986825740606,0.058506060455641676,0.051926048956288086,0.048209960092359595,0.082361190305644,0.049777704698344666,0.04610630499747361,0.0617004776988807,0.06473710841773457,0.1506381166697085,0.05307987542890731,0.09627889091947239,0.054593676673040284,0.03461607088451481,0.09512027863351347,0.06211988584983505,0.044147961739170745,0.04682629956015855,0.11620466695404544,0.0624789622175803,0.09508391903772727,0.04488094759520529,0.07169558280909455,0.05796991116611803,0.10286905825888473,"The ABM/NAMA club is a great way for students to learn about and/or prepare for a future in the agribusiness industry. The club allows students to attend industry conventions, compete in marketing competitions, and network with agribusiness professionals"
Agricultural Communicators of Tomorrow,https://now.calpoly.edu/organization/agricultural-communicators-tomorrow,0.09125255940267964,0.07665139125559414,0.06238690058846573,0.10252978331679445,0.08531550638007224,0.12575394343115928,0.07023888570268891,0.10056911258524259,0.08639527485743798,0.08503309875299327,0.05211574384275894,0.05955391990721524,0.09287561881370567,0.08400939434277134,0.07307911445061745,0.02579446256169983,0.052993656020303745,0.06853113308965213,0.053301508039526074,0.08780220623057293,0.09239254996325877,0.10916439672069257,0.09446000084089733,0.04626277095837059,0.07401858960126942,0.08234518775397061,0.07452715047306833,0.06519665928757644,0.11091069361922727,0.09394143407814509,0.07233685078044896,0.08202784446512555,0.07488850684214922,0.130120249563505,0.07700457747026172,0.08379756414802868,0.06597157088004967,0.06233217629581595,0.058109052107618575,0.0528161063726661,0.046253619698783645,0.09173377911989088,0.10712752280216502,0.05052611005299506,0.07965891741421824,0.09402466734199227,0.09172776710430126,0.12984058599877743,0.13080487169821708,0.07752632939629805,0.14384665197014773,0.14384665197014773,0.0,0.14384665197014773,0.14384665197014773,0.14384665197014773,0.14384665197014773,0.14384665197014773,0.14384665197014773,0.0,0.062247201272584984,0.05051728065490858,0.0665856508975239,0.03921661809909282,0.05426704131714401,0.04949113735237675,0.06732468201797702,0.14384665197014773,0.14384665197014773,0.14071818956423435,0.13219653153818764,0.08489545148253344,0.06654343542081506,0.0810090104663612,0.08808255847447193,0.060822838673467806,0.09591366780702489,0.10009577944031646,0.05787411054376414,0.13821824295539537,0.07358374483595442,0.05856675067653826,0.0615201818898698,0.07597403370784185,0.08619743323652924,0.09660748011677651,0.03389725316590607,0.0962915353902018,0.08636797364319826,0.06844518955190547,0.09173017946946017,0.09463488188878524,0.0761316916920484,0.07161816131220392,0.09139624862837306,0.07288885956405561,0.07311908257042005,0.09894633023870433,0.08642051127079663,0.0835737958185756,0.10755037459867375,0.11750981526608269,0.09927077302591382,0.10063996591725882,0.06189906406680699,0.09956020145581745,0.023511065325973888,0.07124827074190826,0.04983659812021771,0.04449372334014241,0.06810625906685412,0.04867866694935538,0.05689249977357364,0.05930948390266356,0.07604390905107797,0.09328682642407016,0.06038695765358789,0.08504898784091215,0.07045171955614629,0.03613471726793851,0.10718436919322959,0.07170528398536066,0.04350593122742898,0.04333792884902231,0.07734386596284457,0.07936130853250438,0.10684607879077841,0.04393528238611931,0.06966266050216448,0.046395916788219305,0.11432375915402795,This club provides students the opportunity to become involved in the agricultural industry and be able to bridge the gap between the general public and those involved in agriculture.
Agricultural Engineering Society,https://now.calpoly.edu/organization/ag-eng-society,0.0781647253203525,0.07714617488882038,0.0701873010615496,0.11391593558745076,0.10262898993286902,0.14356180851990372,0.10558359352955586,0.13329967291117434,0.0738376405661283,0.07195940509719201,0.03942599982331791,0.039688729159683016,0.05615250613697524,0.0794393937054635,0.045896622567909696,0.025796151568932734,0.05526356010006446,0.05681100638186127,0.05282921499381682,0.04993633775822524,0.06359998186714938,0.11136359738184752,0.08310645163929228,0.04021692457914751,0.02950947680953757,0.04703128164638181,0.06382787657093487,0.10350177465452808,0.04956058893409583,0.08113516617990796,0.08366255721942772,0.05580800387906514,0.06346109041542333,0.13642974565497754,0.07122683668194871,0.056492815576471074,0.054293869061007756,0.0,0.028338183226697695,0.05620602949694941,0.0270875667081592,0.0564042047289784,0.0780980996717969,0.04164251507783015,0.06455588568593962,0.08565178052609668,0.10386508327063204,0.11464941708746236,0.07739750647044324,0.07333788015897927,0.0,0.16428837623804785,0.0,0.16428837623804785,0.16428837623804785,0.16428837623804785,0.16428837623804785,0.16428837623804785,0.16428837623804785,0.0,0.0,0.04822888790199602,0.03212334790167849,0.05056338812354698,0.0350075628403184,0.0,0.1094332627124893,0.12801196202523413,0.09713780404328946,0.14830115843459366,0.14667979489934807,0.08847143738430772,0.08828350365815077,0.13667468051279527,0.10729631354969409,0.06327614949877912,0.10991711059957975,0.11000889632614025,0.10423825587926568,0.1529835715522815,0.07649033134115318,0.052651912476937686,0.04731096035245699,0.07830783696404257,0.12071577112919706,0.0412236622072234,0.036485634960311514,0.10008310410240143,0.06963084326624161,0.061812094349834056,0.07931271668435143,0.07435810126567585,0.11511916737852491,0.054645799691058934,0.11794308879342627,0.10308660961482437,0.06596896785812435,0.08614358904299853,0.08601975368039501,0.15553100472020093,0.04354543383740074,0.07267000758801788,0.12617710485290148,0.09083908136843187,0.07551949474427509,0.05302057282325453,0.056625899924915096,0.08622616784105742,0.08423556416908502,0.05287190646912468,0.08928315562681344,0.049962245681583584,0.07191319259012628,0.05400472921428749,0.10497143277314586,0.10905311929503653,0.026536631506940116,0.0802924206845517,0.07103939210619878,0.04967875058578018,0.10568493421702344,0.05952645064720299,0.03146705222253089,0.05772531926154376,0.0710691536168573,0.07299243894070634,0.12600542398224948,0.0,0.04261607709346876,0.05447684903621827,0.11205494088146299,Main goals of AES are to enhance the student experience associated in the BRAE department as well as other departments throughout campus.
Agricultural Leadership Society,https://now.calpoly.edu/organization/agls,0.0480098250706583,0.050236383084497134,0.05515771757830825,0.10940844337520612,0.068371429691955,0.12412179421748115,0.0645212637104566,0.10066260168969382,0.08836682759733037,0.062422723637235486,0.05116985097428938,0.048086214959254706,0.0490724972094513,0.05878447281969899,0.04436095322367925,0.0325927139266554,0.05331421684317835,0.06161832830270406,0.050753458558567714,0.07092414545601868,0.08822662815975534,0.11484458292686613,0.11098497917438215,0.05479726223755938,0.052717390808578395,0.04213684311118949,0.0676153597041194,0.10215797843214502,0.061100809806456324,0.079738491254877,0.08061633250101898,0.06539359982583086,0.05597371029536906,0.16574202412820113,0.06991182490570261,0.07700162649277564,0.04403300202420395,0.06991910748118083,0.06869264817502768,0.06598801984628956,0.05396164618675257,0.13715819646676655,0.08218926125501486,0.037729831838190814,0.06397970965950465,0.06027427880094509,0.12201918533481677,0.12048865059626226,0.13463788461574575,0.08594976664896174,0.16574202412820113,0.16574202412820113,0.0,0.16574202412820113,0.16574202412820113,0.16574202412820113,0.16574202412820113,0.16574202412820113,0.16574202412820113,0.0,0.048536172173198,0.05556375418007401,0.05552593007982038,0.04248570471633975,0.059446215984805775,0.039063056963916626,0.06079261439504363,0.15968075890699046,0.13004272740199352,0.16574202412820113,0.16574202412820113,0.09846824306017314,0.06414827461644179,0.07591949077457326,0.08681908648532352,0.04211656784497004,0.09729091842552463,0.11840600744962045,0.06661787629964112,0.14771415948136934,0.10208608700786992,0.041371595683889435,0.04558887705866005,0.06615019382606578,0.07337778506029946,0.04437982814945895,0.02788732276485524,0.06982741304278879,0.06236736173764836,0.06167585128970908,0.09203800551507468,0.08026688485138257,0.06778176116197257,0.040171279479910144,0.11542132548644991,0.07243997396953493,0.07638592543814234,0.10910685803109667,0.08824916807628704,0.08646379654590083,0.051584894440425196,0.0844434473573837,0.07580230291558049,0.08575581428730852,0.0554873700949833,0.052753130939494706,0.03396714641827894,0.08257713407839824,0.05200321396632799,0.0509116767190496,0.06043526329910565,0.0429314280089528,0.05027978976506019,0.04068920548825075,0.06667588460860119,0.10342554196608425,0.027478880611884672,0.08925613779209847,0.06554751408031634,0.029966994117062388,0.12820473779329827,0.07726060149709525,0.03123927744758738,0.0505984871754463,0.0965951032779562,0.07823474167094002,0.09149695061911851,0.027894135689448072,0.045837247076939404,0.04577113629515138,0.1307705608182369,"Agricultural Leadership Society empowers all students to find leadership in agriculture through growing our connections on and off campus, discovering our strengths, and being fun and inclusive at our club events."
"American Society of Heating, Refrigerating and Air-Conditioning Engineers",https://now.calpoly.edu/organization/ashrae,0.0762653526035406,0.09134243596672047,0.07104218082341446,0.1161761668277924,0.08716805306996712,0.14041507180149113,0.100909685306071,0.12726727581155678,0.0782642525626353,0.09694191197488666,0.06100534154552239,0.05660565295619156,0.07431849396690163,0.09881243042653054,0.07131667823337512,0.05692082701551605,0.05310573464001322,0.06444188829064237,0.05636808901244727,0.06685212604258667,0.07913023661148312,0.07706138911338063,0.11629530756806884,0.06207178240191638,0.05642374080643916,0.06132834682231205,0.08602997188898626,0.13107944012654332,0.0814204485927987,0.07568095442107071,0.10572328369778589,0.06746515053897631,0.08553810924767241,0.0953757852198231,0.09001851030763487,0.05886330972583033,0.10769989623771703,0.05837413431321678,0.07036314748104136,0.08520527214944124,0.06543702296126996,0.10825180723442293,0.09093136607291119,0.06520172892570643,0.08025076494894155,0.06534115100174658,0.11466389968763992,0.07460035366191929,0.09265273216198346,0.04210550845234462,0.16490778264553302,0.16490778264553302,0.0,0.0,0.0,0.0,0.16490778264553302,0.0,0.0,0.0,0.05563245285918474,0.06557508156580993,0.09730719376644238,0.061019088569621224,0.054465613975407695,0.03668370793596038,0.1037840174093716,0.07748257946947204,0.06475559711163832,0.08969078105757769,0.09430223526289987,0.1057865644876341,0.09342922920705973,0.15087259486610605,0.12098207132819212,0.08754125124665658,0.09473517046309417,0.10627599573760824,0.09030393030866794,0.10628949017975362,0.09129607216157354,0.08599985813517669,0.03800712844831049,0.09354856554449406,0.11415962734711267,0.06899449054849267,0.05924999363097693,0.10151308283464941,0.09487760264758653,0.08553307476522902,0.08246962160148072,0.0712699782496383,0.13141545905331248,0.07405288690092192,0.10923935720939704,0.1109929058256049,0.08441788873974182,0.07848599704700114,0.12930008950135738,0.11244999979494098,0.07864501254651703,0.0661781510580535,0.10563027037913553,0.10322901617010609,0.09236927416006042,0.06431388644475286,0.08761519274034667,0.0719419427544521,0.06483395734822699,0.050377971603599,0.08564950043119561,0.08906421215863927,0.09878028599446745,0.08955124322100032,0.12021920350589789,0.08579719886031924,0.03730595377191333,0.05003115721303095,0.06540762801829582,0.09060834782705927,0.09901376123641481,0.07616743573197725,0.0659653399312753,0.09768734449857164,0.13990244193862908,0.07684726482257079,0.09984910490589015,0.04843809006476408,0.06826718726914068,0.0636619605931158,0.062113460301492784,"The Cal Poly Chapter of ASHRAE (American Society of Heating, Refrigerating and Air-Conditioning Engineers) helps students better understand the possibilities within the HVAC industry."
"Alpha Chi Sigma, Gamma Zeta Chapter",https://now.calpoly.edu/organization/axs,0.0509323714468018,0.08165907398044306,0.03483054090617245,0.10284284772431247,0.04362013956018497,0.09934329628572133,0.06867075585893197,0.07081314203498244,0.07549217921401942,0.04057091590503102,0.05464935892263301,0.04644116082854097,0.033305674532035014,0.04094440552446534,0.04534827754649225,0.06364429512125877,0.0,0.0,0.04226196632842576,0.09622471441428228,0.07354242944590664,0.05590480346809084,0.09600477512468024,0.0694060977636888,0.06413008211651806,0.04525139434840112,0.046674706606481195,0.14763090742382798,0.11356664731394467,0.06563255065459923,0.07187229509416723,0.048379362086183354,0.0,0.07525655318853464,0.05109172851254252,0.044726842992817255,0.09134664629024995,0.09005713202776136,0.08184383298712186,0.09614826562276103,0.08914313394526897,0.18164411596852736,0.07840412527410007,0.054736417050121514,0.10680266292788777,0.035417848967066505,0.14580286053701716,0.09614028826238528,0.05283520010240213,0.03543763752558487,0.0,0.21066400027106028,0.0,0.21066400027106028,0.21066400027106028,0.21066400027106028,0.21066400027106028,0.21066400027106028,0.21066400027106028,0.21066400027106028,0.0647945816414813,0.05157681803472525,0.06572554481953369,0.03847489490024037,0.0,0.05849695751549688,0.05145130776084281,0.0,0.0,0.05292081540638208,0.0,0.07697511966703977,0.07860451328506267,0.08013711299253226,0.06221662324211664,0.0504939218598161,0.15695744950898935,0.133686630091386,0.06934907219400234,0.06916403862249887,0.07319951548215997,0.16258630179755518,0.0,0.049187076968072285,0.0588100362372617,0.06565892557478488,0.06168582849087204,0.07335835409936801,0.0840893752819162,0.044563370268357966,0.11075459452587262,0.06225237137546113,0.06945825208525627,0.04154361645666054,0.07670295181014412,0.06567692079474466,0.06730346004146776,0.07212226815809267,0.08689529594240902,0.07227399917520061,0.05317961952818957,0.08523340011975712,0.0621918265463414,0.08134978916827357,0.09078409844065113,0.0,0.0,0.0,0.06086507208381858,0.06905949551952845,0.06583038647794123,0.06227991790140832,0.08714484521577914,0.06479182228712939,0.05400310810631311,0.12376714455329572,0.03684948473265056,0.03243182041374058,0.05030309526456236,0.0677127045588986,0.09192185189632233,0.09770301138550253,0.03215256124155475,0.09587178102561358,0.03640972847253583,0.09839831101171553,0.047550107924689694,0.03293134636375475,0.04810939582577439,0.0500167494930461,0.07721295123147691,"Alpha Chi Sigma is a co-ed, professional chemistry fraternity committed to creating a positive environment where students and faculty interested in the chemical sciences can become involved in service and leadership."
alpha Kappa Delta Phi,https://now.calpoly.edu/organization/akdphi,0.0,0.0721062130886635,0.07344037071141835,0.08992346000402102,0.06344862468552323,0.11861305760550624,0.06455483669241469,0.07907460483121541,0.06500141899079549,0.0,0.049854436021770906,0.0,0.05338742777696666,0.04270833873397913,0.0,0.06419185768232133,0.08549159563682161,0.044621145618368524,0.07325900302054053,0.10331929122119514,0.10484470170663597,0.08882918937891533,0.16253630728135335,0.12183858770062263,0.06957131379173853,0.05971017946718146,0.13389287668124367,0.1854303893917072,0.082309375304133,0.0978469744977937,0.08379384792126379,0.05630220752513574,0.0,0.07462904910802053,0.0,0.05402212752567519,0.06025610349347749,0.09730087936014535,0.07040963684656512,0.10786718593242947,0.10173261309404585,0.18430887043901326,0.07077076686836996,0.109902535845578,0.10490865840140717,0.0,0.1775314291277061,0.11245376201004496,0.0658166778745683,0.0580261136354371,0.27001609977587937,0.0,0.0,0.0,0.0,0.0,0.27001609977587937,0.0,0.0,0.27001609977587937,0.05036012067625025,0.13178814993288113,0.0767270489706075,0.08581639334614033,0.0970794850022569,0.10258209346143121,0.07762060088314214,0.04325385212297153,0.0,0.049021004179294794,0.055164448392459084,0.08795187849401356,0.1092699159519549,0.0887011295623881,0.0959719493459591,0.0638674603303036,0.10772220623461577,0.090644006541229,0.06658060139857049,0.06986876566095958,0.07186904675198053,0.047642634226963784,0.0,0.05349484823458486,0.06104063254519614,0.06378647970311567,0.10729775291185119,0.06911127363415939,0.04751181961122324,0.0,0.09634250596485547,0.0587660745374096,0.0719619118319477,0.11881823471051103,0.058586977104108304,0.05182384492899497,0.05916382890046203,0.045610658217797015,0.0766643186558182,0.08413252853658397,0.0,0.09517188538029425,0.06557768382353955,0.06133799820820121,0.1337381775694562,0.05108536745352785,0.09367991190117667,0.058957397432958324,0.08049944526390615,0.09506739498423639,0.05854703916040875,0.05212726613254448,0.0714697735951508,0.06949682989733162,0.049155307287221284,0.06899447735240778,0.0,0.08727348235034635,0.07308295779648197,0.0,0.07779577927594412,0.07985200670284026,0.0,0.10774113649399214,0.047623339284863404,0.1088567429243035,0.04314497110717969,0.07211985436491254,0.0,0.08257668107632313,0.0,"alpha Kappa Delta Phi is the largest and only international Asian-Interest sorority with over 65 chapters across the U.S. & Canada. Our 5 pillars in which we strive towards are Sxsterhood, Scholarship, Leadership, Service, and Asian-Awareness."
Alpha Kappa Psi Professional Business Fraternity,https://now.calpoly.edu/organization/akpsi,0.04582776144006313,0.08934013781066641,0.04591585907131549,0.08379788999390847,0.04507965762475222,0.05969956823725874,0.060234556075244194,0.05840522571012427,0.12151057425648394,0.04172809235345777,0.043299359242564596,0.051856949721820596,0.05536036737789036,0.036347953053594936,0.0,0.06531579495514811,0.0,0.03288110317074409,0.0,0.09377455811264973,0.038745788484609675,0.08481741432243606,0.13260835083325886,0.04788341356365428,0.0,0.06085205247568938,0.08319468764649146,0.1542808175522289,0.16945521396140203,0.15339208495408996,0.13713896022337416,0.08178195140232507,0.06181419926705174,0.06984948468539041,0.03596059395618467,0.04381093167058825,0.1141302236237078,0.08076334332010737,0.06406964572691212,0.09196672330161398,0.06656085583177108,0.14407303194841406,0.09134921799614963,0.07742580215335285,0.10003262287642634,0.05131959966287275,0.16150470950923293,0.07972442720479489,0.07414311008572923,0.04520794895202987,0.0,0.21383158727061188,0.0,0.21383158727061188,0.21383158727061188,0.21383158727061188,0.21383158727061188,0.21383158727061188,0.21383158727061188,0.21383158727061188,0.051465297253442094,0.07435359288483956,0.05396612749913329,0.0574828864654054,0.05746848533522544,0.0473890243624085,0.04802055481019883,0.06949191902249469,0.0,0.0,0.04727114211256052,0.050636189238332116,0.055143515795319786,0.08277146823299253,0.06682890900798416,0.04313772335018453,0.10095850148149632,0.05554542346599,0.0,0.06426880711654646,0.1702382144554113,0.052402353473798895,0.0,0.048830771703710245,0.04805291919777367,0.07518360896797699,0.05553276275520177,0.05956946629735356,0.0648274316132571,0.06042371515976952,0.05654255234965012,0.10232096389126058,0.0638226598828533,0.08327192918459245,0.06405809525223985,0.05569049146680559,0.06935131862913653,0.047752038224003014,0.07154678789281484,0.06356106588350229,0.04210830836735358,0.03922784432308459,0.07130762287362788,0.0818594175553753,0.09661245877073062,0.05319577778664468,0.04554818725118131,0.05081384787278617,0.05478719815036585,0.06935319189996353,0.050564140736372436,0.042829880508905585,0.045037891374227326,0.0718295137160126,0.0,0.0727064125998884,0.0,0.0,0.05370081734147558,0.04971401838803815,0.07930434110061019,0.0940873719047451,0.04373124279092742,0.09382454332333545,0.09321657426427492,0.08188556871117383,0.050384426263295985,0.051342431166981846,0.05243260389222048,0.04154540865092626,0.05301815477774426,Alpha Kappa Psi is a Co-Ed Professional Business Fraternity opened to all majors.
